brewery_region,brewery_country_code,brewery_city,brewery_country,brewery,beer_name,comments,style,abv,
EU,DE,N/A,Germany,Fraugruber,Weak As I Am,,Imperial IPA,8.6,
EU,DE,N/A,Germany,Fraugruber,Art Of Work,,Imperial IPA,8.4,
EU,DE,N/A,Germany,Fraugruber,Covered in Sunshine,,Session IPA,4.5,
EU,DE,N/A,Germany,Fraugruber,Fruits on Dope,,DIPA,8.6,
EU,DE,N/A,Germany,Fraugruber,Pils,,Pilsner,4.8,
EU,DE,N/A,Germany,Fraugruber,Fraugruber x Sauve & Sons,,IPA,6.8,
EU,SE,N/A,Sweeden,Apex,Doomrider,,DIPA,8.0,
EU,SE,N/A,Sweeden,Apex,New Pyramids,,DIPA,8.0,
EU,SE,N/A,Sweeden,Apex,Clair Obscure,,DIPA,8.0,
EU,SE,N/A,Sweeden,Apex,Trident,,IPA,6.5,
EU,SE,N/A,Sweeden,Apex,NE Mosaic Simcoe,,IPA,6.5,
EU,SE,N/A,Sweeden,Apex,Culmination,,TIPA,10.0,
EU,SE,N/A,Sweeden,Apex,Asmodeus,,DIPA,8.0,
EU,SE,N/A,Sweeden,Apex,Vertigo,,DIPA,8.0,
EU,DK,N/A,Denmark,Åben,Max Q,,New England DIPA,8.4,
EU,DK,N/A,Denmark,Åben,Cloudless,,West Coast IPA,7.1,
EU,DK,N/A,Denmark,Åben,Scattering of Light,,Session IPA,4.0,
EU,DK,N/A,Denmark,Åben,4 Year Anniversary,,West Coast IPA,6.0,
EU,DK,N/A,Denmark,Åben,Focal Point,,New England IPA,5.5,
EU,DK,N/A,Denmark,Åben,Diffuse,,DIPA,8.0,
EU,DK,N/A,Denmark,Åben,Bryg 61,,New England IPA,5.5,
EU,DK,N/A,Denmark,Åben,Specular,,Triple IPA,10.0,
EU,IE,N/A,Ireland,Whiplash,Setting Sun,,DIPA,8.0,
EU,IE,N/A,Ireland,Whiplash,Its No Spirit,,TIPA,10.5,
EU,IE,N/A,Ireland,Whiplash,Reckoner,,IPA,6.3,
EU,IE,N/A,Ireland,Whiplash,Water Jump,,IPA,6.8,
EU,IE,N/A,Ireland,Whiplash,Walk the Night,,IPA,6.6,
EU,IE,N/A,Ireland,Whiplash,Prisoner of Love,,Pale Ale,5.2,
EU,IE,N/A,Ireland,Whiplash,Doom City,,DIPA,8.0,
EU,IE,N/A,Ireland,Whiplash,Northern Lights,,Micro IPA,2.8,
EU,RU,N/A,Russia,Zagovor,Indwell,,New England IPA,6.5,
EU,RU,N/A,Russia,Zagovor,Prozess,,Kviek New England IPA,6.5,
EU,RU,N/A,Russia,Zagovor,Overhype: Proper Hops,,TDH DIPA,8.0,
EU,RU,N/A,Russia,Zagovor,Sadwave,,New England IPA,6.5,
EU,RU,N/A,Russia,Zagovor,Revival Never goes out of Style,,West Coast DIPA,8.0,
EU,LV,N/A,Latvia,Arpus,DDH Idaho 7 DIPA,,,8.0,
EU,LV,N/A,Latvia,Arpus,DDH Nelson x Vic Secret IPA,,IPA,6.5,
EU,LV,N/A,Latvia,Arpus,DDH Citra x Belma Pale Ale,,Pale Ale,5.5,
EU,LV,N/A,Latvia,Arpus,DDH Nelson x Galaxy TIPA,,TIPA,10.0,
EU,LV,N/A,Latvia,Arpus,DDH TRI2304CR Cryo DIPA,,DIPA,8.0,
EU,LV,N/A,Latvia,Arpus,DDH Mosaic x Citra Lupomax IPA,,IPA,6.5,
EU,LV,N/A,Latvia,Arpus,DDH Citra Spectrum x Strata QIPA,,QIPA,12.0,
EU,LV,N/A,Latvia,Arpus,DDH Galaxy Pale Ale,,Pale Ale,5.5,
EU,SE,N/A,Sweeden,Stigberts,Non Plus Ultra,,New England IPA,7.5,
EU,SE,N/A,Sweeden,Stigberts,Existens Essens Transcendens,,New England IPA,5.9,
EU,SE,N/A,Sweeden,Stigberts,Barnaby Pils,,Oat Pilsner,5.6,
EU,SE,N/A,Sweeden,Stigberts,Api Lairepmi,,Hybrid IPA,8.0,
EU,SE,N/A,Sweeden,Stigberts,DDH WC,,New England IPA,6.5,
EU,SE,N/A,Sweeden,Stigberts,Just as Amazing,,New England IPA,3.5,
EU,SE,N/A,Sweeden,Stigberts,Children's Village,,West Coast DIPA,9.6,
EU,SE,N/A,Sweeden,Stigberts,Margeaux,,Fruited Gose,4.5,
EU,DK,N/A,Denmark,Warpigs,Frank the Tank,,New England Pale,5.3,
EU,DK,N/A,Denmark,Warpigs,Mo'saic Mo Problems,,IPA,6.8,
EU,DK,N/A,Denmark,Warpigs,IPA - American,,IPA,6.8,
EU,DK,N/A,Denmark,Warpigs,Angle of Repose,,IPA,5.9,
EU,DK,N/A,Denmark,To Øl,Amarilload,,New England IPA,6.0,
EU,DK,N/A,Denmark,To Øl,Dank A Roo Doo,,DIPA,8.7,
EU,DK,N/A,Denmark,To Øl,Hazy Answe,,IPA,5.8,
EU,DK,N/A,Denmark,To Øl,House of Haze,,New England IPA,5.5,
UK,N/A,Manchester,England,Pomona Island,My Name Is Carnival,,DIPA,8.0,
UK,N/A,Manchester,England,Pomona Island,Plastic Palace Alice,,Sour IPA,7.2,
UK,N/A,Manchester,England,Pomona Island,Pie for Maureen Round her Shed,,Fruited Sour IPA,6.5,
UK,N/A,Manchester,England,Pomona Island,HMS Thunder Child,,TIPA,10.0,
UK,N/A,Manchester,England,Pomona Island,"Very Eavy, Very Umble",,DIPA,8.2,
UK,N/A,Manchester,England,Pomona Island,Choose The Ball,,IPA,6.5,
UK,N/A,Manchester,England,Pomona Island,"Too Weird to Live, Too Rare to Die",,Fruited Sour DIPA,8.0,
UK,N/A,Manchester,England,Pomona Island,Alpha Beta Psychedelic Funkin',,Sour DIPA,8.5,
UK,N/A,London,England,Mikkeller Brewpub London,What a Time to be Alive,,Hazy IPA,6.0,
UK,N/A,London,England,Mikkeller Brewpub London,Behold Frostillicus,,DDH IPA,6.5,
UK,N/A,London,England,Mikkeller Brewpub London,Risk Assessment,,DIPA,8.3,
UK,N/A,London,England,Mikkeller Brewpub London,Moon Mist,,TIPA,10.0,
UK,N/A,Cornwall,England,Verdant,Cornish Creatives: Mudwig Has a Beef System,,IPA,6.5,
UK,N/A,Cornwall,England,Verdant,Planets Don't Twinkle,,DIPA,8.0,
UK,N/A,Cornwall,England,Verdant,Unlike Stars,,IPA,6.5,
UK,N/A,Cornwall,England,Verdant,Transient Comfort Object,,DIPA,8.0,
UK,N/A,London,England,Boxcar,Ekuanot Meditations,,DIPA,8.0,
UK,N/A,London,England,Boxcar,Dark Mild,,Dark Ale,3.6,
UK,N/A,London,England,Boxcar,Emerald Sky,,Pale Ale,4.6,
UK,N/A,London,England,Boxcar,Grapefruit IPA,,Fruited IPA,6.0,
UK,N/A,Manchester,England,Bundobust,East is East,,New England IPA,6.5,
UK,N/A,Manchester,England,Bundobust,West is West,,West Coast IPA,6.5,
UK,N/A,Manchester,England,Bundobust,Peela,,Pale Ale,4.0,
